2,0
3,1
3,1
3,0
4,1
5,1
5,1
5,0
6,1
6,0
7,1
7,1
8,1
8,1
9,1
9,1
10,1
10,1
10,0
10,1
11,1
11,1
11,1
12,1
12,1
13,1
13,1
14,1
14,1
14,1
15,1
15,1
15,0
16,1
16,1
17,1
17,1
18,1
19,1
20,1
20,0
21,1
22,1
23,1
23,0
24,0
26,1
32,1
33,1
33,1
34,1
34,1
34,1
35,1
36,1
36,0
37,1
38,1
38,1
39,1
40,1
66,0
67,0
69,1
70,1
71,1
71,1
73,0
74,1
79,0
88,1
93,1
94,1
94,0
95,1
97,0
104,1
105,0
106,0
117,0
120,1
121,1
121,0
122,1
123,1
124,1
125,1
125,1
126,1
127,1
127,1
128,1
128,1
129,1
129,1
130,1
130,1
131,1
131,1
132,1
132,1
