1,1
1,1
1,0
2,1
2,1
5,1
8,0
9,0
10,0
11,0
11,1
12,1
12,1
13,1
13,1
14,1
14,0
15,1
15,1
16,1
16,1
17,1
17,1
17,1
17,0
18,1
18,1
18,0
18,1
19,1
19,0
19,1
20,1
20,0
20,1
20,1
21,1
21,0
21,1
21,1
22,1
22,0
22,1
22,1
23,0
23,1
24,0
25,0
29,1
29,1
30,1
30,1
31,1
31,1
32,1
32,1
33,1
33,1
34,1
34,1
35,1
35,1
35,1
36,1
36,1
36,1
37,1
37,1
43,1
44,1
44,1
44,1
45,1
45,0
45,1
46,1
46,1
46,1
46,1
47,1
47,1
48,1
48,1
48,1
49,1
49,1
50,1
50,1
50,1
51,1
51,1
51,0
51,1
52,1
52,1
52,0
53,1
53,1
53,0
53,1
54,1
54,1
54,1
54,1
55,1
55,1
55,1
55,0
56,1
56,1
56,1
56,0
57,1
57,1
57,0
57,0
58,1
59,0
59,1
60,0
61,1
61,1
62,1
63,1
64,1
64,0
65,1
66,1
66,0
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
76,0
77,1
78,1
78,1
79,0
79,1
79,0
80,0
80,1
81,0
81,1
82,1
82,1
82,0
83,1
83,1
